term_id,topic_code,en_canonical,en_aliases,abbreviations,jp_headword,jp_reading,jp_definition,key_points,pitfall,formula,notes
TERM0011,QM,Time Value of Money,TVM,TVM,貨幣の時間価値,かへいのじかんかち,現在の1円は将来の1円より価値が高いという概念。金利・インフレ・リスクにより、同額の貨幣でも時点により価値が異なる。,PV・FV・PMT・N・I/Yの5変数。複利計算の基礎。,単利と複利の混同。Annuity DueとOrdinary Annuityの計算タイミングの違い。,FV = PV × (1 + r)^n,
TERM0012,QM,Present Value,Discounted Value,PV,現在価値,げんざいかち,将来のキャッシュフローを適切な割引率で割り引いた現時点での価値。投資評価・債券価格計算の基礎。,割引率の選択が重要。リスクが高いほど割引率は高い。,PVとFVの計算で期間（n）と利率（r）の整合性を確認。年率と期間の単位を揃える。,PV = FV / (1 + r)^n,
TERM0013,QM,Future Value,,FV,将来価値,しょうらいかち,現在の金額が一定期間後に成長した価値。複利効果により、期間が長いほど成長が加速する。,複利の効果。連続複利との違い。,名目金利と実効金利の違い。複利頻度が異なると実効金利が変わる。,FV = PV × (1 + r)^n,
TERM0014,QM,Discount Rate,Required Rate of Return,,割引率,わりびきりつ,将来キャッシュフローを現在価値に換算する際に使用する利率。機会費用・リスクプレミアム・インフレ期待を反映。,リスクフリーレート＋リスクプレミアム。WACCとの関係。,Discount RateとRequired Returnの使い分け。評価目的により適切な率を選択。,,
TERM0015,QM,Net Present Value,NPV,NPV,正味現在価値,しょうみげんざいかち,投資プロジェクトの全キャッシュフローの現在価値合計から初期投資額を差し引いた値。正のNPVは価値創造を意味する。,NPV > 0 なら投資採用。IRRとの比較。相互排他的プロジェクトの評価。,NPVとIRRが矛盾する場合はNPVを優先。再投資率の仮定が異なる。,NPV = Σ[CFt / (1+r)^t] - Initial Investment,
TERM0016,QM,Internal Rate of Return,,IRR,内部収益率,ないぶしゅうえきりつ,NPVをゼロにする割引率。プロジェクトの期待収益率を示し、ハードルレートとの比較で投資判断を行う。,IRR > ハードルレートなら投資採用。複数IRR問題に注意。,IRRは再投資率をIRR自身と仮定。NPVとの矛盾時はNPV優先。,NPV = 0 となる r を求める,
TERM0017,QM,Effective Annual Rate,Effective Annual Yield,EAR;EAY,実効年利率,じっこうねんりりつ,複利頻度を考慮した年間の実質的な利率。名目金利と複利頻度から計算され、異なる金融商品の比較に使用。,複利頻度が高いほどEARは高くなる。連続複利の極限。,Stated Rate（名目金利）とEARの混同。比較には必ずEARを使用。,EAR = (1 + r/m)^m - 1,
TERM0018,QM,Annuity,,,年金,ねんきん,一定期間にわたり定額のキャッシュフローが発生する金融商品または支払いパターン。普通年金と期首年金がある。,Ordinary Annuity（期末払い）とAnnuity Due（期首払い）の区別。,Annuity DueのPV/FVはOrdinary Annuityの(1+r)倍。計算時の設定確認。,,
TERM0019,QM,Perpetuity,Perpetual Annuity,,永久年金,えいきゅうねんきん,無期限に一定額のキャッシュフローが続く金融商品。優先株の評価や成長永久年金モデルで使用。,PV = PMT / r。成長永久年金はPV = PMT / (r - g)。,成長率gが割引率rを超えるとモデルは適用不可。g < r の条件確認。,PV = PMT / r,
TERM0020,QM,Standard Deviation,Volatility,SD;σ,標準偏差,ひょうじゅんへんさ,データの散らばり具合を示す統計量。投資においてはリスク（ボラティリティ）の指標として使用される。,分散の平方根。正規分布での確率解釈（68-95-99.7ルール）。,母集団と標本の標準偏差の計算式の違い（n vs n-1）。,σ = √[Σ(xi - μ)² / n],
TERM0021,QM,Variance,,σ²,分散,ぶんさん,データの散らばりを二乗平均で測定した統計量。標準偏差の二乗であり、ポートフォリオリスク計算の基礎。,共分散・相関係数との関係。ポートフォリオ分散の計算。,分散は単位が二乗になるため、解釈には標準偏差を使用。,σ² = Σ(xi - μ)² / n,
TERM0022,QM,Covariance,,Cov,共分散,きょうぶんさん,2つの変数が同時にどの程度変動するかを測定する統計量。正の共分散は同方向、負は逆方向の動きを示す。,ポートフォリオ分散計算の重要要素。相関係数との関係。,共分散の大きさは単位に依存。比較には相関係数を使用。,Cov(X;Y) = Σ[(xi - μx)(yi - μy)] / n,
TERM0023,QM,Correlation Coefficient,,ρ;r,相関係数,そうかんけいすう,-1から+1の範囲で2変数間の線形関係の強さと方向を示す。+1は完全正相関、-1は完全負相関、0は無相関。,分散投資効果は相関が低いほど大きい。相関と因果の違い。,相関は因果関係を意味しない。また、非線形関係は検出できない。,ρ = Cov(X;Y) / (σx*σy),
TERM0024,QM,Normal Distribution,Gaussian Distribution,,正規分布,せいきぶんぷ,平均を中心に左右対称の釣鐘型の確率分布。多くの金融データの近似モデルとして使用される。,平均・標準偏差で完全に特定。68-95-99.7ルール。,実際の金融リターンは正規分布より裾が厚い（Fat Tails）。極端な事象を過小評価。,,
TERM0025,QM,Confidence Interval,,CI,信頼区間,しんらいくかん,母集団パラメータが一定の確率で含まれると推定される区間。95%信頼区間は平均±1.96標準誤差。,信頼水準と区間幅のトレードオフ。標本サイズの影響。,信頼区間は「母集団パラメータがこの区間にある確率」ではない。解釈に注意。,,
TERM0026,QM,Hypothesis Testing,Statistical Testing,,仮説検定,かせつけんてい,標本データに基づいて母集団に関する仮説の妥当性を統計的に判断する手法。帰無仮説と対立仮説を設定。,Type I Error（α）とType II Error（β）。p値の解釈。,帰無仮説を「棄却できない」ことは「正しい」ことを意味しない。,,
TERM0027,QM,Type I Error,False Positive,,第一種の過誤,だいいっしゅのかご,帰無仮説が真であるにもかかわらず、誤って棄却してしまう誤り。有意水準αで発生確率を制御。,有意水準αと同じ。検定力との関係。,Type I Error（偽陽性）とType II Error（偽陰性）の混同。,,
TERM0028,QM,Type II Error,False Negative,,第二種の過誤,だいにしゅのかご,帰無仮説が偽であるにもかかわらず、棄却できない誤り。検定力（1-β）で評価。,標本サイズを増やすとβは減少。αとのトレードオフ。,Type II Errorを減らすにはαを上げるか標本サイズを増やす。,,
TERM0029,QM,p-value,Probability Value,,p値,ぴーち,帰無仮説が真である場合に、観測されたデータ以上に極端な結果が得られる確率。小さいほど帰無仮説に反する証拠が強い。,p値 < αなら帰無仮説を棄却。統計的有意性の指標。,p値は効果の大きさや実務的重要性を示さない。統計的有意≠実務的重要。,,
TERM0030,QM,Sampling Distribution,,,標本分布,ひょうほんぶんぷ,標本統計量（平均など）の確率分布。中心極限定理により、標本サイズが大きいと正規分布に近づく。,標準誤差 = σ/√n。中心極限定理の適用条件。,標本分布と母集団分布の混同。標本分布は統計量の分布。,,
TERM0031,ECON,Demand,Market Demand,,需要,じゅよう,ある価格水準で消費者が購入しようとする財・サービスの量。価格と需要量は逆相関（需要の法則）。,需要曲線のシフト要因（所得・嗜好・代替財価格等）と移動の区別。,需要曲線の「シフト」と曲線上の「移動」の混同。価格変化は移動、他要因はシフト。,,
TERM0032,ECON,Supply,Market Supply,,供給,きょうきゅう,ある価格水準で生産者が販売しようとする財・サービスの量。価格と供給量は正相関（供給の法則）。,供給曲線のシフト要因（生産コスト・技術・期待等）。均衡価格の決定。,供給曲線のシフト要因と需要曲線のシフト要因の混同。,,
TERM0033,ECON,Elasticity,Price Elasticity,,弾力性,だんりょくせい,価格変化に対する需要量または供給量の反応度を測定する指標。弾力的（>1）・非弾力的（<1）・単位弾力的（=1）。,価格弾力性・所得弾力性・交差弾力性の区別。税負担の帰着。,弾力性は絶対値で評価。需要の価格弾力性は通常負だが絶対値で議論。,Ed = %ΔQd / %ΔP,
TERM0034,ECON,Consumer Surplus,,,消費者余剰,しょうひしゃよじょう,消費者が支払ってもよいと考える最高価格と実際の市場価格との差額の合計。需要曲線と価格線の間の面積。,市場効率性の指標。価格規制・税の影響分析。,消費者余剰と生産者余剰の混同。需要曲線の上側が消費者余剰。,,
TERM0035,ECON,Producer Surplus,,,生産者余剰,せいさんしゃよじょう,市場価格と生産者が受け入れる最低価格との差額の合計。供給曲線と価格線の間の面積。,総余剰（社会的厚生）= 消費者余剰 + 生産者余剰。死荷重の概念。,生産者余剰と利益の混同。余剰は機会費用を超える部分。,,
TERM0036,ECON,Deadweight Loss,Welfare Loss,,死荷重,しかじゅう,市場の非効率性により失われる総余剰。税・価格規制・独占などにより発生する社会的損失。,税の死荷重は弾力性に依存。独占の非効率性。,死荷重は政府収入や企業利益に移転されない「純損失」。,,
TERM0037,ECON,Gross Domestic Product,,GDP,国内総生産,こくないそうせいさん,一定期間に国内で生産されたすべての最終財・サービスの市場価値の合計。経済規模と成長の主要指標。,支出アプローチ: GDP = C + I + G + (X - M)。名目GDPと実質GDPの区別。,GDPとGNP（国民総生産）の違い。GDPは国内、GNPは国民ベース。,GDP = C + I + G + (X - M),
TERM0038,ECON,Inflation,,,インフレーション,いんふれーしょん,一般物価水準の持続的な上昇。購買力の低下をもたらし、金融政策の主要な目標の一つ。,CPI・PPI・GDPデフレーター。コストプッシュとデマンドプル。,インフレ率とインフレの混同。率は変化率、インフレは水準上昇。,,
TERM0039,ECON,Consumer Price Index,,CPI,消費者物価指数,しょうひしゃぶっかしすう,代表的な消費財・サービスのバスケットの価格変動を測定する指数。インフレの主要指標。,基準年との比較。CPIの上方バイアス（代替・品質・新製品）。,CPIは生活費の完全な指標ではない。代替効果を反映しにくい。,,
TERM0040,ECON,Monetary Policy,,,金融政策,きんゆうせいさく,中央銀行が金利・マネーサプライを調整して経済目標（物価安定・雇用・成長）を達成する政策。,政策金利・公開市場操作・準備率。拡張的と緊縮的政策。,金融政策と財政政策の混同。金融は中央銀行、財政は政府。,,
TERM0041,ECON,Fiscal Policy,,,財政政策,ざいせいせいさく,政府が歳出・税制を通じて経済に影響を与える政策。景気刺激や安定化を目的とする。,自動安定化装置と裁量的政策。乗数効果。クラウディングアウト。,財政政策の効果は金融政策との組み合わせで変化。IS-LMモデル。,,
TERM0042,ECON,Interest Rate,,,金利,きんり,資金の貸借に対する対価。名目金利は実質金利とインフレ期待の合計（フィッシャー方程式）。,名目金利と実質金利の区別。金利の期間構造。,名目金利と実質金利の混同。実質金利 = 名目金利 - インフレ率。,名目金利 ≈ 実質金利 + 期待インフレ率,
TERM0043,ECON,Exchange Rate,Foreign Exchange Rate,FX,為替レート,かわせれーと,2つの通貨間の交換比率。直接表示と間接表示がある。貿易・投資・金融政策に影響。,直物レートと先物レート。購買力平価と金利平価。,直接表示（自国通貨/外国通貨）と間接表示の混同。上昇の意味が逆。,,
TERM0044,ECON,Purchasing Power Parity,,PPP,購買力平価,こうばいりょくへいか,同一財は為替調整後に各国で同一価格になるという理論。長期的な為替レートの決定要因。,絶対的PPPと相対的PPP。実際の為替レートとの乖離。,PPPは短期では成立しにくい。取引コスト・非貿易財の存在。,,
TERM0045,ECON,Business Cycle,Economic Cycle,,景気循環,けいきじゅんかん,経済活動の拡大と収縮の周期的な変動。拡張・ピーク・収縮・トラフの4局面。,先行指標・一致指標・遅行指標。各局面での資産パフォーマンス。,景気循環の各局面で最適な資産配分が異なる。セクターローテーション。,,
TERM0046,ECON,Aggregate Demand,,AD,総需要,そうじゅよう,経済全体で需要される財・サービスの総量。消費・投資・政府支出・純輸出の合計。,AD曲線のシフト要因。AS曲線との均衡。,ADの構成要素とGDPの支出アプローチは同じ。AD = C + I + G + (X-M)。,,
TERM0047,ECON,Aggregate Supply,,AS,総供給,そうきょうきゅう,経済全体で供給される財・サービスの総量。短期ASと長期ASの区別が重要。,短期AS（右上がり）と長期AS（垂直）。スタグフレーション。,短期と長期のAS曲線の形状の違い。長期は完全雇用GDPで垂直。,,
TERM0048,ECON,Opportunity Cost,Economic Cost,,機会費用,きかいひよう,ある選択をすることで放棄した次善の選択肢の価値。経済学的意思決定の基礎概念。,会計費用との違い。暗黙のコストを含む。,会計上の利益と経済的利益の違い。経済的利益は機会費用を差し引く。,,
TERM0049,ECON,Comparative Advantage,,,比較優位,ひかくゆうい,他国より低い機会費用で財を生産できる状態。国際貿易の理論的基盤。,絶対優位との違い。貿易利益の源泉。,比較優位と絶対優位の混同。比較優位は相対的な効率性。,,
TERM0050,ECON,Balance of Payments,,BOP,国際収支,こくさいしゅうし,一定期間における国と外国との間のすべての経済取引の記録。経常収支・資本収支・金融収支で構成。,経常収支の構成要素。双子の赤字。為替レートへの影響。,経常収支と貿易収支の混同。経常収支はサービス・所得・移転も含む。,,
TERM0051,FSA,Income Statement,Profit and Loss Statement;P&L,,損益計算書,そんえきけいさんしょ,一定期間の企業の収益・費用・利益を示す財務諸表。収益性の分析に使用。,Revenue - Expenses = Net Income。発生主義会計。,収益（Revenue）と利益（Profit/Income）の混同。収益は売上、利益は差額。,,
TERM0052,FSA,Balance Sheet,Statement of Financial Position,,貸借対照表,たいしゃくたいしょうひょう,特定時点における企業の資産・負債・株主資本を示す財務諸表。財政状態を表す。,Assets = Liabilities + Equity。流動性の順序。,貸借対照表は「時点」、損益計算書は「期間」の情報。,,
TERM0053,FSA,Cash Flow Statement,Statement of Cash Flows,,キャッシュフロー計算書,きゃっしゅふろーけいさんしょ,一定期間の現金の流入・流出を営業・投資・財務活動に分類して示す財務諸表。,直接法と間接法。FCF（フリーキャッシュフロー）の計算。,営業CFと純利益の違い。非現金項目の調整が必要。,,
TERM0054,FSA,Revenue,Sales;Turnover,,収益,しゅうえき,企業の主たる事業活動から生じる経済的便益の流入。売上高とも呼ばれる。,収益認識の5ステップモデル（IFRS 15）。,収益と現金収入の違い。発生主義では現金受領前に収益認識可能。,,
TERM0055,FSA,Gross Profit,Gross Margin,,売上総利益,うりあげそうりえき,売上高から売上原価を差し引いた利益。製品・サービスの基本的な収益性を示す。,Gross Profit = Revenue - COGS。粗利率の計算。,売上総利益と営業利益の混同。営業利益はさらに販管費を差し引く。,Gross Profit = Revenue - COGS,
TERM0056,FSA,Operating Income,Operating Profit;EBIT,,営業利益,えいぎょうりえき,売上総利益から販売費・一般管理費を差し引いた利益。本業の収益性を示す。,EBIT（利息・税前利益）との関係。営業利益率。,EBITとOperating Incomeは通常同義だが、非営業項目の扱いに注意。,,
TERM0057,FSA,Net Income,Net Profit;Bottom Line,,純利益,じゅんりえき,すべての収益から費用・税金を差し引いた最終利益。株主に帰属する利益。,EPS計算の分子。包括利益との違い。,純利益と包括利益の違い。包括利益はOCI（その他包括利益）を含む。,,
TERM0058,FSA,Earnings Per Share,,EPS,一株当たり利益,ひとかぶあたりりえき,純利益を発行済株式数で割った指標。株式の収益性を測定し、株価評価の基礎。,Basic EPSとDiluted EPS。希薄化の影響。,Basic EPSとDiluted EPSの違い。潜在株式の影響を考慮。,EPS = Net Income / Shares Outstanding,
TERM0059,FSA,EBITDA,,,EBITDA,いーびっとだー,利息・税金・減価償却・償却前利益。営業キャッシュフローの代理指標として使用。,Operating Income + D&A。企業価値評価での使用。,EBITDAは運転資本変動・設備投資を考慮しない。FCFとは異なる。,EBITDA = EBIT + Depreciation + Amortization,
TERM0060,FSA,Depreciation,,,減価償却,げんかしょうきゃく,有形固定資産の取得原価を耐用年数にわたり費用配分する会計処理。非現金費用。,定額法・定率法・生産高比例法。税務上の影響。,減価償却は現金支出を伴わない。CFでは加算調整。,,
TERM0061,FSA,Amortization,,,償却,しょうきゃく,無形資産の取得原価を耐用年数にわたり費用配分する会計処理。のれんは償却しない（IFRS）。,IFRSとUS GAAPの違い（のれんの処理）。減損テスト。,AmortizationとDepreciationの対象の違い。無形 vs 有形。,,
TERM0062,FSA,Working Capital,Net Working Capital,,運転資本,うんてんしほん,流動資産から流動負債を差し引いた金額。短期的な支払能力と流動性を示す。,WC = Current Assets - Current Liabilities。運転資本管理。,運転資本の増加はCFOを減少させる。在庫・売掛金の増加に注意。,Working Capital = CA - CL,
TERM0063,FSA,Current Ratio,,,流動比率,りゅうどうひりつ,流動資産を流動負債で割った比率。短期支払能力の指標。一般に1.0以上が望ましい。,Quick Ratioとの比較。業種による適正水準の違い。,流動比率が高すぎると資産の非効率な運用を示唆。,Current Ratio = CA / CL,
TERM0064,FSA,Quick Ratio,Acid-Test Ratio,,当座比率,とうざひりつ,流動資産から棚卸資産を除いた資産を流動負債で割った比率。より厳格な流動性指標。,棚卸資産は換金に時間がかかるため除外。,Current RatioとQuick Ratioの違い。在庫の流動性を考慮。,Quick Ratio = (CA - Inventory) / CL,
TERM0065,FSA,Debt-to-Equity Ratio,D/E Ratio,D/E,負債資本比率,ふさいしほんひりつ,総負債を株主資本で割った比率。財務レバレッジと資本構成を示す。,レバレッジの指標。業種による適正水準。,D/EとDebt-to-Assetsの違い。分母が異なる。,D/E = Total Debt / Total Equity,
TERM0066,FSA,Return on Equity,,ROE,株主資本利益率,かぶぬししほんりえきりつ,純利益を株主資本で割った比率。株主の投資に対する収益性を測定。,DuPont分析（3要素・5要素）。ROAとの比較。,ROEが高くてもレバレッジによる場合がある。DuPont分析で要因分解。,ROE = Net Income / Equity,
TERM0067,FSA,Return on Assets,,ROA,総資産利益率,そうしさんりえきりつ,純利益を総資産で割った比率。資産の効率的な活用度を測定。,ROE = ROA × Financial Leverage。業種比較。,ROEとROAの違い。ROEはレバレッジ効果を含む。,ROA = Net Income / Total Assets,
TERM0068,FSA,DuPont Analysis,DuPont Model,,デュポン分析,でゅぽんぶんせき,ROEを収益性・効率性・レバレッジの3要素に分解する分析手法。,ROE = Profit Margin × Asset Turnover × Financial Leverage。,3要素分解と5要素分解の違い。5要素は税負担と金利負担を分離。,ROE = (NI/Sales) × (Sales/Assets) × (Assets/Equity),
TERM0069,FSA,Inventory Turnover,,,棚卸資産回転率,たなおろししさんかいてんりつ,売上原価を平均棚卸資産で割った比率。在庫管理の効率性を測定。,Days of Inventory on Hand (DOH)との関係。,売上高ではなく売上原価を使用。回転率と日数の換算。,Inventory Turnover = COGS / Average Inventory,
TERM0070,FSA,Accounts Receivable Turnover,,,売掛金回転率,うりかけきんかいてんりつ,売上高を平均売掛金で割った比率。売掛金の回収効率を測定。,Days of Sales Outstanding (DSO)との関係。,回転率が低いと回収に問題がある可能性。与信管理の指標。,AR Turnover = Revenue / Average AR,
TERM0071,FSA,Free Cash Flow,FCF,FCF,フリーキャッシュフロー,ふりーきゃっしゅふろー,営業活動から生じるキャッシュフローから設備投資を差し引いた金額。株主・債権者に分配可能な現金。,FCFF（企業全体）とFCFE（株主）の区別。企業価値評価での使用。,FCFFとFCFEの計算式の違い。FCFEは負債関連CFを調整。,FCFF = CFO - CapEx,
TERM0072,FSA,Accrual Accounting,Accrual Basis,,発生主義会計,はっせいしゅぎかいけい,現金の収支に関わらず、経済的事象の発生時点で収益・費用を認識する会計方式。,現金主義との違い。収益認識と費用対応の原則。,発生主義と現金主義の違い。発生主義では売掛金・買掛金が生じる。,,
TERM0073,FSA,Deferred Tax Asset,,DTA,繰延税金資産,くりのべぜいきんしさん,将来の税金を減少させる一時差異から生じる資産。将来減算一時差異により発生。,一時差異と永久差異の区別。評価性引当金。,DTAとDTLの発生原因の違い。将来の課税所得の見込みが重要。,,
TERM0074,FSA,Deferred Tax Liability,,DTL,繰延税金負債,くりのべぜいきんふさい,将来の税金を増加させる一時差異から生じる負債。将来加算一時差異により発生。,加速償却による発生例。税効果会計の理解。,DTLは将来の税金支払義務。課税所得と会計上の利益の差異。,,
TERM0075,FSA,Goodwill,,,のれん,のれん,企業買収において支払対価が被取得企業の純資産の公正価値を超える部分。,IFRSでは償却せず減損テスト。US GAAPとの違い。,のれんは償却しない（IFRS）。減損テストで価値を評価。,,
TERM0076,FSA,Impairment,Asset Impairment,,減損,げんそん,資産の帳簿価額が回収可能価額を超える場合に認識される損失。のれん・固定資産に適用。,減損テストの手順。IFRSとUS GAAPの違い。,減損損失は一度認識すると戻入れ不可（US GAAP）。IFRSは戻入れ可能。,,
TERM0077,FSA,Operating Lease,,,オペレーティングリース,おぺれーてぃんぐりーす,リース資産の所有に伴うリスクと経済的便益の大部分が移転しないリース。IFRS 16で会計処理が変更。,IFRS 16では使用権資産とリース負債を認識。旧基準との違い。,IFRS 16以降、ほぼすべてのリースがオンバランス化。旧基準との比較。,,
TERM0078,FSA,Finance Lease,Capital Lease,,ファイナンスリース,ふぁいなんすりーす,リース資産の所有に伴うリスクと経済的便益の大部分が移転するリース。資産・負債を認識。,所有権移転・割安購入オプション等の判定基準。,ファイナンスリースとオペレーティングリースの判定基準。5つの条件。,,
TERM0079,FSA,IFRS,International Financial Reporting Standards,IFRS,国際財務報告基準,こくさいざいむほうこくきじゅん,国際会計基準審議会（IASB）が策定する会計基準。原則主義に基づく。,US GAAPとの主要な違い。LIFO禁止・減損戻入れ可能等。,IFRSとUS GAAPの違いが頻出。在庫評価・減損・リース等。,,
TERM0080,FSA,US GAAP,Generally Accepted Accounting Principles,GAAP,米国会計基準,べいこくかいけいきじゅん,米国財務会計基準審議会（FASB）が策定する会計基準。規則主義に基づく。,IFRSとの主要な違い。LIFO許容・減損戻入れ不可等。,US GAAPはLIFO許容、IFRSは禁止。試験で頻出の違い。,,
TERM0081,CI,Corporate Governance,,,コーポレートガバナンス,こーぽれーとがばなんす,企業の経営を監督・統制する仕組み。株主・取締役会・経営陣の関係を規定。,取締役会の構成・独立性。ステークホルダー理論。,株主利益最大化とステークホルダー理論の違い。ESGとの関連。,,
TERM0082,CI,Agency Problem,Principal-Agent Problem,,エージェンシー問題,えーじぇんしーもんだい,経営者（代理人）と株主（本人）の利害が一致しないことから生じる問題。,情報の非対称性。モニタリングコスト・ボンディングコスト。,エージェンシー問題の解決策（報酬設計・監視・敵対的買収の脅威）。,,
TERM0083,CI,Stakeholder,,,ステークホルダー,すてーくほるだー,企業活動に利害関係を持つすべての関係者。株主・従業員・顧客・債権者・地域社会等。,株主（Shareholder）との違い。ESG投資との関連。,Stakeholder（利害関係者）とShareholder（株主）の混同。,,
TERM0084,CI,Capital Budgeting,,,資本予算,しほんよさん,長期投資プロジェクトの評価・選択プロセス。NPV・IRR・回収期間等の手法を使用。,NPV法が最も理論的に優れる。相互排他的プロジェクトの評価。,NPVとIRRの矛盾時はNPV優先。規模・タイミングの違い。,,
TERM0085,CI,Weighted Average Cost of Capital,,WACC,加重平均資本コスト,かじゅうへいきんしほんこすと,企業の資金調達コストの加重平均。負債コストと株主資本コストを資本構成で加重。,税引後負債コストを使用。最適資本構成との関係。,WACCは税引後負債コストを使用。税の節税効果を反映。,WACC = (E/V)×Re + (D/V)×Rd×(1-T),
TERM0086,CI,Cost of Equity,,,株主資本コスト,かぶぬししほんこすと,株主が企業に期待する収益率。CAPMやDDMで推定。,CAPM: Re = Rf + β(Rm - Rf)。DDMアプローチ。,CAPMとDDMで推定値が異なる場合がある。前提条件の確認。,Re = Rf + β × (Rm - Rf),
TERM0087,CI,Cost of Debt,,,負債コスト,ふさいこすと,企業が負債で資金調達する際のコスト。税引後ベースで計算。,YTM（満期利回り）で推定。税の節税効果。,税引前と税引後の負債コストの違い。WACCでは税引後を使用。,税引後Rd = Rd × (1 - T),
TERM0088,CI,Capital Structure,,,資本構成,しほんこうせい,企業の資金調達における負債と株主資本の組み合わせ。レバレッジの程度を示す。,MM理論。最適資本構成。トレードオフ理論。,MM理論の前提条件（税なし・倒産コストなし等）と現実の違い。,,
TERM0089,CI,Modigliani-Miller Theorem,MM Theorem,MM,モジリアーニ・ミラー理論,もじりあーに・みらーりろん,完全市場では資本構成は企業価値に影響しないという理論。税を考慮すると負債の節税効果が生じる。,MM Proposition I（価値無関連）とII（株主資本コスト）。,MM理論の前提と現実の違い。税・倒産コスト・エージェンシーコスト。,,
TERM0090,CI,Financial Leverage,Gearing,,財務レバレッジ,ざいむればれっじ,負債を使用して株主資本利益率を高める効果。ROEを増幅するがリスクも増加。,DFL（財務レバレッジの程度）。ROEへの影響。,レバレッジは好況時にROEを高めるが、不況時は悪化させる。,DFL = EBIT / (EBIT - Interest),
TERM0091,CI,Operating Leverage,,,営業レバレッジ,えいぎょうればれっじ,固定費の存在により売上変動がEBITに増幅して影響する効果。,DOL（営業レバレッジの程度）。損益分岐点分析。,営業レバレッジと財務レバレッジの違い。固定費 vs 金利。,DOL = (Sales - VC) / (Sales - VC - FC),
